epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.8651,3.05856,3.61692,3.89172,0.00344,0.60826,0.03407,0.00768,3.15718,4.98739,3.71616,0.000469896,0.000469896,0.000469896
2,78.351,2.3527,3.21604,2.99965,0.02765,0.19555,0.01381,0.00343,2.87785,7.8033,3.99276,0.000936862,0.000936862,0.000936862
3,113.68,2.13956,3.02048,2.68084,0.38831,0.09314,0.04899,0.01569,2.98361,3.87392,3.78279,0.0013944,0.0013944,0.0013944
4,149.161,2.01673,2.8796,2.53984,0.08009,0.23629,0.05309,0.01525,2.64645,3.79124,4.02369,0.00138656,0.00138656,0.00138656
5,184.238,1.96673,2.77371,2.44851,0.13531,0.2687,0.09974,0.03031,2.3873,3.64569,3.18896,0.00137241,0.00137241,0.00137241
6,219.488,1.90149,2.69499,2.38243,0.0488,0.18303,0.05427,0.01639,2.88797,4.02375,4.17364,0.00135826,0.00135826,0.00135826
7,254.06,1.88571,2.65614,2.3651,0.11728,0.23777,0.09331,0.02948,2.53195,3.60283,3.41245,0.00134412,0.00134412,0.00134412
8,287.45,1.85014,2.6008,2.30819,0.28304,0.32032,0.20857,0.07007,2.43228,3.1667,3.13995,0.00132997,0.00132997,0.00132997
9,321.361,1.80888,2.53256,2.26888,0.31546,0.36527,0.27628,0.10604,2.12475,2.71543,2.67565,0.00131582,0.00131582,0.00131582
10,356.011,1.79801,2.49446,2.25892,0.28157,0.36046,0.2499,0.0942,2.15345,2.67404,2.81413,0.00130168,0.00130168,0.00130168
11,390.833,1.79362,2.44857,2.24688,0.18821,0.26868,0.15264,0.05663,2.18536,3.18858,2.9608,0.00128753,0.00128753,0.00128753
12,424.982,1.73091,2.40511,2.20852,0.16471,0.28812,0.12486,0.04071,2.5558,4.29138,3.52072,0.00127338,0.00127338,0.00127338
13,458.318,1.7294,2.38254,2.19321,0.33157,0.42143,0.32005,0.1201,2.27048,2.49138,2.91839,0.00125923,0.00125923,0.00125923
14,493.18,1.70784,2.34424,2.1759,0.2742,0.38727,0.26806,0.08978,2.2904,2.92379,2.88737,0.00124509,0.00124509,0.00124509
15,527.363,1.70224,2.30126,2.15865,0.53124,0.46148,0.49724,0.21907,1.9499,2.0084,2.46863,0.00123094,0.00123094,0.00123094
16,561.197,1.68312,2.29253,2.14794,0.57499,0.47641,0.47182,0.19383,2.15826,2.1011,2.7681,0.00121679,0.00121679,0.00121679
17,594.901,1.67276,2.23277,2.13095,0.39346,0.39576,0.35727,0.11829,2.31859,2.50296,3.04749,0.00120265,0.00120265,0.00120265
18,628.93,1.65604,2.22094,2.13396,0.61711,0.5206,0.54079,0.24988,1.92204,1.90026,2.38807,0.0011885,0.0011885,0.0011885
19,662.85,1.65522,2.19785,2.12995,0.58197,0.45925,0.50046,0.20964,2.05268,2.09553,2.64549,0.00117435,0.00117435,0.00117435
20,697.164,1.65098,2.17879,2.10852,0.40889,0.3613,0.32507,0.118,2.17358,3.03747,2.82578,0.00116021,0.00116021,0.00116021
21,731.068,1.6219,2.14411,2.08411,0.5634,0.51747,0.5315,0.24928,1.96085,1.96359,2.57776,0.00114606,0.00114606,0.00114606
22,765.365,1.62324,2.11532,2.07504,0.36078,0.18245,0.119,0.03892,2.43668,3.42357,3.51947,0.00113191,0.00113191,0.00113191
23,798.623,1.60762,2.1013,2.07481,0.43557,0.49874,0.44063,0.16513,2.14522,2.30765,2.69055,0.00111776,0.00111776,0.00111776
24,831.979,1.60259,2.0704,2.0579,0.60101,0.57187,0.59355,0.27746,1.82882,1.80171,2.34743,0.00110362,0.00110362,0.00110362
25,865.733,1.59865,2.04291,2.0544,0.46144,0.49476,0.45369,0.17224,2.08804,2.0783,2.76744,0.00108947,0.00108947,0.00108947
26,899.219,1.58225,2.02817,2.03455,0.60867,0.56883,0.60568,0.25587,2.00995,1.74591,2.51465,0.00107532,0.00107532,0.00107532
27,933.874,1.57661,2.01271,2.03977,0.58023,0.53795,0.55673,0.28095,1.78895,1.84016,2.29163,0.00106118,0.00106118,0.00106118
28,967.226,1.55909,1.98755,2.02202,0.59445,0.51219,0.51837,0.27731,1.74801,1.97387,2.2427,0.00104703,0.00104703,0.00104703
29,1002.39,1.57164,2.00542,2.0231,0.63309,0.61512,0.64911,0.33083,1.75328,1.62114,2.23619,0.00103288,0.00103288,0.00103288
